code,lat,lng,population,x,y
01375,42.4539,-72.5676,3639,2182654.341050349,4907310.127311335
01376,42.5954,-72.5557,5324,2179662.3479224965,4923326.044220485
01378,42.6671,-72.3397,780,2195403.895005675,4935828.264141115
01379,42.5656,-72.4009,774,2193250.9635817483,4923234.885381853
01380,42.5534,-72.3927,82,2194272.248610503,4922047.192962452
01420,42.5796,-71.8031,41940,2242084.57866834,4937517.018257754
01430,42.6496,-71.9267,6303,2229870.006004663,4942653.74053014
01431,42.6745,-71.8174,3193,2238131.009119749,4947782.27073239
01432,42.5591,-71.5788,8221,2261163.6037257127,4940109.171357139
01434,42.5385,-71.6115,1652,2259077.727012758,4937098.876621981
01436,42.5936,-72.0646,3208,2220144.95756475,4933462.800785649
01438,42.5631,-72.037,414,2223298.588946649,4930652.988054031
01440,42.574,-71.9898,21577,2226871.1814423003,4932876.805114336
01450,42.6124,-71.5584,11298,2261265.3521197187,4946495.179937817
01451,42.4986,-71.5753,5461,2263240.983386158,4933442.80289979
01452,42.4865,-72.0012,4328,2228463.1842003935,4922881.208090895
01453,42.5274,-71.7563,43752,2247468.674187972,4932712.470845306
01460,42.5401,-71.4877,10141,2269233.797230331,4939988.476993323
01462,42.5884,-71.7266,11818,2248126.357432184,4940154.574649423
01463,42.6689,-71.5934,11621,2256712.3057447514,4952025.119973114
01464,42.5734,-71.6483,7427,2255016.0911322907,4940185.703064306
01468,42.546,-72.065,4309,2221485.16840829,4928149.891131039
01469,42.6525,-71.6896,7055,2249285.829649598,4948100.861826751
01473,42.5483,-71.9096,8213,2234223.9830587124,4931733.199303229
01474,42.6678,-71.7522,2072,2243687.9779839288,4948446.560829362
01475,42.6789,-72.0475,10304,2219087.137862093,4943331.747442406
01501,42.2055,-71.8391,16731,2250007.263307255,4895033.294302542
01503,42.3844,-71.6356,3158,2261628.994553647,4919395.584688056
01504,42.0287,-71.5269,9208,2281101.0964062745,4882097.998907364
01505,42.3377,-71.731,4849,2255109.9532296136,4912114.061724909
01506,42.1991,-72.0989,3439,2228647.97145446,4888753.66373249
01507,42.1379,-71.9664,13315,2241398.551668782,4884756.688301205
01510,42.4181,-71.6828,15428,2256738.860469587,4922124.838123734
01515,42.2193,-72.0481,2224,2232280.978027614,4892088.854749754
01516,42.0528,-71.7509,8962,2261765.632519872,4879905.924282434
01518,42.1228,-72.1178,3176,2229260.507304999,4879841.483136949
01519,42.2004,-71.6868,7254,2262785.5176063473,4897762.508730189
01520,42.342,-71.8414,16394,2245852.389247857,4910205.394026716
01521,42.0403,-72.1544,2603,2228570.459790876,4869861.015877978
01522,42.3755,-71.8706,3464,2242464.3093894976,4913311.03496993
01523,42.451,-71.6868,8377,2255442.684897017,4925705.411520999
01524,42.237,-71.9188,6621,2242488.1614840245,4896830.8503410425
01525,42.0973,-71.6448,73,2269287.134637478,4887175.748124169
01527,42.1968,-71.7644,13799,2256454.905685973,4895677.310128478
01529,42.0331,-71.5798,3174,2276571.151486206,4881431.149781407
01531,42.3198,-72.1306,996,2222567.408384814,4901539.201848297
01532,42.3182,-71.6464,15741,2262680.958764216,4911779.019255085
01534,42.1494,-71.6564,6233,2266799.5449920027,4892735.22155375
01535,42.2665,-72.0821,4735,2228109.5823340984,4896627.70647975
01536,42.2297,-71.7037,7514,2260527.8057953445,4900663.146827806
01537,42.1655,-71.886,2141,2247275.492339444,4889561.499347479
01540,42.1129,-71.8687,11032,2250232.9995681616,4884066.478348744
01541,42.4508,-71.8762,3495,2239813.39224045,4921584.77218753
01542,42.1997,-71.9069,2366,2244552.8878286397,4892926.59345194
01543,42.3762,-71.949,9049,2235963.239994689,4911703.996214617
01545,42.2848,-71.7205,38316,2257525.492697092,4906443.17916211
01550,42.075,-72.0353,17740,2237481.579116959,4876266.556625045
01560,42.176,-71.6927,4896,2263009.290931429,4894912.701720044
01561,42.4435,-71.6861,64,2255720.6860055747,4924884.587729626
01562,42.2441,-71.9906,11992,2236333.4672582503,4896083.2247096505
01564,42.4354,-71.7752,7985,2248601.05813148,4922048.57874327
01566,42.1126,-72.0842,6691,2232342.413025408,4879418.4929142315
01568,42.1756,-71.6032,7900,2270446.774820309,4896817.7225692235
01569,42.0744,-71.6329,14193,2270946.0297436016,4884880.189218562
01570,42.0521,-71.8486,17776,2253661.860581261,4877716.532822048
01571,42.0489,-71.8932,11921,2250045.59595096,4876399.273366018
01581,42.2679,-71.6176,21567,2266542.580658782,4906797.848519999
01583,42.3584,-71.7838,7652,2250138.476165797,4913278.193815537
01585,42.2441,-72.1511,4899,2223034.5159072494,4892662.913177909
01588,42.1153,-71.6644,10106,2267132.5317397946,4888757.068237557
01590,42.1266,-71.7552,9279,2259261.8977234988,4888046.130371084
01602,42.2703,-71.8417,25382,2247910.9532630136,4902203.934318832
01603,42.245,-71.838,22417,2248952.0786633035,4899462.325337833
01604,42.2541,-71.7746,41301,2253940.460997344,4901847.059839752
01605,42.2894,-71.7888,29218,2251736.070435668,4905476.355633803
01606,42.311,-71.7958,21651,2250527.4374766983,4907733.573893097
01607,42.2303,-71.7938,9378,2253042.292264116,4898777.469860786
01608,42.2624,-71.8003,4996,2251569.7495036996,4902216.8185459515
01609,42.2826,-71.8277,23870,2248713.0033349004,4903877.614596511
01610,42.2492,-71.8108,28717,2251083.8125948883,4900517.874758578
01611,42.2373,-71.875,2277,2246109.306660371,4897806.232562804
01612,42.3066,-71.9202,5051,2240359.209508495,4904562.099788583
01701,42.3007,-71.4255,33005,2281481.1528977994,4914668.05231011
01702,42.2822,-71.4339,39515,2281334.6316508567,4912419.909398834
01718,42.4851,-71.4328,688,2275396.4435884645,4935066.091493429
01719,42.4884,-71.5178,5506,2268285.9658730105,4933565.326127111
01720,42.4751,-71.4483,23232,2274415.055150256,4933610.06529813
01721,42.2539,-71.4583,18832,2280152.2652233373,4908726.678279042
01730,42.4843,-71.2768,14566,2288290.939292003,4938427.554652167
01731,42.4567,-71.2795,1555,2288895.96860447,4935290.968655458
01740,42.4365,-71.6076,5665,2262408.2712105685,4925814.754672535
01741,42.5286,-71.3519,5237,2280770.267238596,4941700.703110398
01742,42.4567,-71.3747,18545,2281037.519078264,4933182.251274597
01745,42.2934,-71.5028,433,2275297.8800101993,4912153.912732247
01746,42.2026,-71.4361,14996,2283511.8041596496,4903493.636181304
01747,42.1268,-71.5376,6017,2277326.380414003,4892808.713100115
01748,42.219,-71.5302,18758,2275224.4566763993,4903255.462930558
01749,42.3918,-71.5609,20092,2267584.770871377,4921852.324593388
01752,42.3509,-71.5434,41793,2270239.263608589,4917675.368151678
01754,42.4321,-71.455,10730,2275139.9970842246,4928669.201497264
01756,42.0967,-71.5499,6228,2277189.933643236,4889181.318989318
01757,42.1511,-71.5274,30479,2277457.8097946537,4895743.02514879
01760,42.2875,-71.3574,36659,2287511.8917425163,4914699.345834855
01770,42.2331,-71.3787,4401,2287365.8232475324,4908161.530722672
01772,42.2939,-71.532,10017,2272865.5609958917,4911569.223603767
01773,42.4217,-71.3137,5651,2287120.2244485393,4930630.445506194
01775,42.4308,-71.515,7190,2270223.5367638525,4927205.966109714
01776,42.3837,-71.4282,18934,2278792.379077181,4923863.399581524
01778,42.3486,-71.3588,14132,2285575.4613910103,4921481.751616946
01801,42.4829,-71.1574,40891,2298184.3659101045,4940931.140102804
01803,42.5089,-71.2004,26074,2293853.2429660265,4942869.575026149
01810,42.6496,-71.1565,35621,2293219.554297174,4959529.555093052
01821,42.5519,-71.2518,30909,2288321.6100476487,4946517.7673865175
01824,42.5911,-71.3556,26881,2278595.2010661885,4948584.315677596
01826,42.6764,-71.3186,32689,2279081.6397639755,4958908.325587551
01827,42.6739,-71.4952,3358,2264637.634546303,4954733.540914898
01830,42.7856,-71.0721,27553,2296022.778611946,4976570.843427312
01832,42.7792,-71.1095,25656,2293148.924307178,4975019.443388149
01833,42.7281,-70.9822,8410,2305157.593746423,4972187.593389866
01834,42.753,-71.027,6752,2300718.225204521,4973952.688004814
01835,42.7528,-71.0843,14578,2296020.2824138654,4972643.46471237
01840,42.708,-71.1638,7121,2290851.1401197957,4965873.2156839585
01841,42.7115,-71.167,53654,2290482.22321791,4966191.672329055
01843,42.6911,-71.1605,28346,2291634.160646139,4964064.082993023
01844,42.728,-71.181,52970,2288832.5971584343,4967717.307822921
01845,42.6826,-71.109,31855,2296124.992850402,4964269.108095306
01850,42.656,-71.3051,16670,2280804.527375362,4956934.660711976
01851,42.6315,-71.3329,32691,2279253.118340411,4953588.65207542
01852,42.6344,-71.2983,36708,2282012.872634761,4954678.709761306
01854,42.6493,-71.3355,29561,2278505.3423668155,4955514.4617311405
01860,42.8346,-71.0047,6723,2300054.010020486,4983543.653324554
01862,42.5757,-71.2902,11430,2284442.8396922667,4948317.154979227
01863,42.6347,-71.3908,9536,2274393.438473268,4952664.878286048
01864,42.5819,-71.0947,15554,2300357.348882587,4953368.523477909
01867,42.528,-71.109,25522,2300812.568010887,4947040.899631228
01876,42.6028,-71.2232,31105,2289144.5985970385,4952826.691778419
01879,42.6724,-71.4158,12368,2271210.2775568985,4956313.830290415
01880,42.5009,-71.0685,27071,2304973.5145705882,4944928.308749925
01886,42.5864,-71.4401,24618,2271777.4698710293,4946195.466821205
01887,42.5581,-71.1723,23349,2294685.3596385485,4948980.138618901
01890,42.453,-71.1441,22970,2300184.649879243,4937895.312704708
01901,42.4612,-70.9467,2794,2316230.932226371,4943244.860939141
01902,42.4698,-70.942,50725,2316356.530228263,4944309.710039271
01904,42.4889,-70.9647,19944,2313900.959873926,4945926.423940193
01905,42.4694,-70.9728,27761,2313826.7937582363,4943569.989086445
01906,42.4633,-71.0111,28619,2310851.3310277145,4942027.085993344
01907,42.4746,-70.9098,15148,2318867.316901791,4945572.672834983
01908,42.4261,-70.9277,3334,2318870.4104298055,4939761.037607339
01913,42.8559,-70.9367,17366,2304973.9000387536,4987449.692525026
01915,42.5608,-70.8759,42341,2319024.178141854,4955948.4004428955
01921,42.6797,-71.0114,8263,2304236.464717674,4966137.538666309
01922,42.7568,-70.9351,3134,2308146.2299747225,4976447.814007012
01923,42.5694,-70.9425,27987,2313274.184776042,4955400.060215661
01929,42.6286,-70.7828,3618,2324605.436158076,4965619.010242241
01930,42.6208,-70.6721,29729,2333956.438204524,4967277.294969793
01937,42.5862,-70.9745,100,2310125.496721297,4956550.148226448
01938,42.6809,-70.8494,13785,2317517.2143936106,4969932.671262674
01940,42.5327,-71.0339,13326,2306860.929561319,4949250.029800312
01944,42.5796,-70.7674,5395,2327384.05014565,4960509.227178853
01945,42.4984,-70.8653,20462,2321810.4874738995,4949233.572383072
01949,42.5942,-71.013,9779,2306711.296534211,4956574.319585226
01950,42.813,-70.8847,18289,2310555.074637399,4983848.160694252
01951,42.7835,-70.8474,3582,2314522.951905817,4981408.068822664
01952,42.8507,-70.8588,9236,2311517.0733426707,4988634.133441497
01960,42.5326,-70.9612,54155,2312856.8711984865,4950876.396062737
01965,42.5581,-70.8257,329,2323243.179641776,4956786.571240401
01966,42.658,-70.6194,6992,2337137.039939134,4972630.6472286675
01969,42.7138,-70.907,6161,2311772.868986917,4972292.909223877
01970,42.5151,-70.9003,44451,2318412.584091699,4950302.162334498
01982,42.6185,-70.8561,7618,2318884.068019033,4962827.628534765
01983,42.6415,-70.9488,6569,2310551.3616494304,4963292.494915927
01984,42.6017,-70.8786,4979,2317547.6396725285,4960445.342406959
01985,42.7949,-70.9778,4500,2303474.8778147604,4979727.985462696
02019,42.0746,-71.4768,16945,2283915.878395198,4888318.95062238
02021,42.1645,-71.1355,24370,2309587.4695121353,4905914.735246074
